voxel_id,R_nm,theta_rad,D,sigma,R_norm,cos_theta,x_norm,z_norm
2,437.38041079417764,2.8203042860735374,3.414564268594189,0.15499642450314405,8.747608215883552,-0.9488293530426752,2.762400753979392,-8.299987444147582
3,3480.4153198303657,0.8735464436395207,0.09669187658495768,0.001844041619718634,69.60830639660732,0.6421118483527517,53.36249105434275,44.69631828103019
4,1568.9571500439654,0.08161091148630391,0.511419042316649,0.009263276881320337,31.379143000879306,0.9966716774920735,2.5580386856836568,31.27470309295004
5,79.63182169478618,2.4367920612935725,106.60379157422605,2.94145680777155,1.5926364338957237,-0.7617407595569796,1.0318403911739802,-1.213176086853848
6,6205.552946498922,2.2065844966135364,0.022083080007485628,0.0006122742129908602,124.11105892997844,-0.5938118632587324,99.86024475976969,-73.69861915422483
7,2150.1722760691964,1.713712546644653,0.21499642152742693,0.003278822481736827,43.00344552138393,-0.14243020473446066,42.565018850275116,-6.124989549897938
9,94.17123439318108,2.639202893506963,77.6609933288843,2.0344848162513496,1.8834246878636216,-0.8764343450507438,0.9069092536886642,-1.6506980827601547
12,4874.457962698528,2.2610417673353975,0.03239349278666961,0.0009684716702364469,97.48915925397056,-0.6367264580860106,75.17289238623141,-62.07392707356369
14,2915.55856306912,1.1354400483494944,0.12911618385319246,0.00249711473334414,58.3111712613824,0.4217334728629416,52.871896185578805,24.591772762768557
18,68.53777584733075,2.2301263179343973,168.738299375221,3.7506405060107237,1.370755516946615,-0.6125874126004944,1.0834490643302215,-0.8397075754341801
19,2986.5684007366963,1.0399367383737603,0.13635392017166473,0.003313393293315506,59.731368014733924,0.5062748133136782,51.5106713156111,30.240487190630027
20,1133.9729121185928,1.9653268770208099,0.7263747717313402,0.017928596759851673,22.679458242371858,-0.38437484589292914,20.93715673396204,-8.717413266846805
22,288.2890346635413,0.8282109061382611,15.431612545862752,0.361190281987068,5.765780693270826,0.6761949077633339,4.247781950475311,3.8987915440698777
23,6056.367896240168,2.9763703077555923,0.019130384330339856,0.0008268371831038864,121.12735792480336,-0.9863818101419827,19.922016774224716,-119.47782256758337
24,4127.834552749112,1.2980450525404854,0.06570748594789519,0.0020528133751419424,82.55669105498224,0.2693820218854334,79.50485074095455,22.23928835656219
25,2341.4271500513723,0.769651226469918,0.24516393460216826,0.007868586744343058,46.82854300102745,0.718153419486217,32.58727165771514,33.63007828574521
26,130.82465317985458,1.5302956897723792,63.57230874435976,2.2642130015829474,2.6164930635970918,0.04048956572062386,2.614347438032272,0.1059406678560709
27,501.895191975397,1.2158462447625802,4.665778458516978,0.1440716373853005,10.03790383950794,0.34754355939561277,9.412179446210263,3.488608829253477
28,62.08382901614505,2.291883064316384,209.98272110892657,10.497995202059014,1.241676580322901,-0.6602012979392878,0.9326092575710561,-0.8197564899499956
29,107.17537428875718,3.022576892052167,57.44685621491104,2.1203846884002084,2.1435074857751437,-0.992925980314264,0.2545093377821864,-2.1283442716242478
30,1461.7749412259102,1.85899794553043,0.4212184539365656,0.0160382580196962,29.235498824518203,-0.284228475791557,28.029726773912827,-8.309561269898666
31,1983.010195216938,1.8571436596712845,0.24446933215256092,0.010499847416407037,39.66020390433876,-0.282450179405586,38.04531849447098,-11.202031708042604
32,5961.695166407211,1.146159370346511,0.03389758993081445,0.0010750074654096932,119.23390332814422,0.41199000784135326,108.64454522511376,49.12317676711729
34,311.90616976230416,1.00320122072099,11.815505660302579,0.5052449241290831,6.238123395246083,0.5376058076598421,5.259962548195114,3.353651366183027
35,508.9755205700557,0.0034308526368275276,5.009712148437286,0.21637365028310876,10.179510411401115,0.9999941146308651,0.034924331622213034,10.17945050122473
36,127.52631192522327,2.720921374017284,43.952711655029724,0.9115082887245045,2.5505262385044656,-0.9128150133438935,1.04156681444722,-2.328158642434404
37,95.01631634026319,1.349138384202576,112.94591810968329,0.8259460305115683,1.9003263268052637,0.21984730435475847,1.8538335054834798,0.417781620342517
40,1369.2306021709362,2.6298602391571597,0.34546595171046407,0.007978021323807467,27.384612043418723,-0.8718974730944472,13.409928738429457,-23.876574042328553
41,433.66462106943277,0.5351296889322456,7.4247901669171705,0.23761127273040925,8.673292421388656,0.8602025013003993,4.422968042190626,7.460787835388319
42,3061.991815994444,1.290004415845335,0.11683389197817884,0.0037213164569415923,61.23983631988888,0.2771166321548198,58.84145700240765,16.97057719468002
44,234.07164691478008,1.4381675219135284,18.36266666246454,0.3496746430392537,4.681432938295601,0.13224031443827028,4.640319120006376,0.6190741637818858
46,2667.4565506796916,0.6575802779177036,0.18331952952656436,0.0017671288877330173,53.34913101359383,0.7914734897125442,32.607175452136815,42.22442289646083
48,207.85430872147114,3.072472976843187,14.624707518455871,0.14856738147454923,4.1570861744294225,-0.9976121860247058,0.28710771415808123,-4.147159825965618
49,1457.7825242358078,1.7266621650040943,0.4734988221683527,0.013643182915116932,29.15565048471616,-0.15523549945122067,28.80221088599472,-4.525991964820137
50,99.74628451406217,2.17455985091311,83.21296983793759,1.9806345906995042,1.9949256902812433,-0.5677446377292802,1.6422322628267583,-1.1326083633255586
51,134.27606394764456,1.2353579849981824,63.658513117151806,1.5578874840276113,2.685521278952891,0.32918311278717177,2.5358467196833967,0.8840282540618993
53,2442.364466409714,2.855312059013302,0.11992501655747,0.004722213189649994,48.847289328194286,-0.9593008171632948,13.793798358629203,-46.85924456874867
54,1336.0572474569224,2.208714204511349,0.45832147568667936,0.006399676762051995,26.72114494913845,-0.5955240866277605,21.466096505619277,-15.913085439483668
56,2368.7240312002627,1.849306847015189,0.17294287473623118,0.004012260512375906,47.37448062400526,-0.27492386989651335,45.5489523040017,-13.024375547488914
