voxel_id,R_nm,theta_rad,D,sigma,R_norm,cos_theta,x_norm,z_norm,epsilon,f,f_scaled
2,437.3804107941776,2.820304286073537,3.414564268594189,0.154996424503144,8.747608215883552,-0.9488293530426752,2.762400753979392,-8.299987444147582,1.3281986045343298e-08,1.22804989538799,0.05744690465196535
3,3480.4153198303657,0.8735464436395207,0.0966918765849576,0.0018440416197186,69.60830639660732,0.6421118483527517,53.36249105434275,44.69631828103019,1.3281986045343298e-08,-2.336225749047912,-1.1840478728575399
4,1568.9571500439654,0.0816109114863039,0.511419042316649,0.0092632768813203,31.379143000879303,0.9966716774920736,2.5580386856836568,31.27470309295004,1.3281986045343298e-08,-0.670565955187189,-0.6038716627448893
5,79.63182169478618,2.4367920612935725,106.60379157422604,2.94145680777155,1.5926364338957235,-0.7617407595569796,1.0318403911739802,-1.213176086853848,1.3281986045343298e-08,4.66911907946232,1.2560268819739189
6,6205.552946498922,2.2065844966135364,0.0220830800074856,0.0006122742129908,124.11105892997844,-0.5938118632587324,99.86024475976969,-73.69861915422483,1.3281986045343298e-08,-3.812942972753711,-1.698412333965103
7,2150.1722760691964,1.713712546644653,0.2149964215274269,0.0032788224817368,43.00344552138393,-0.1424302047344606,42.56501885027512,-6.124989549897938,1.3281986045343298e-08,-1.537133833273762,-0.9057112515773185
9,94.17123439318108,2.639202893506963,77.6609933288843,2.0344848162513496,1.8834246878636216,-0.8764343450507438,0.9069092536886642,-1.6506980827601547,1.3281986045343298e-08,4.35235311513295,1.1456921801610591
12,4874.457962698528,2.261041767335397,0.0323934927866696,0.0009684716702364,97.48915925397056,-0.6367264580860106,75.17289238623141,-62.07392707356369,1.3281986045343298e-08,-3.42979730625239,-1.5649565097138698
14,2915.55856306912,1.1354400483494944,0.1291161838531924,0.0024971147333441,58.3111712613824,0.4217334728629416,52.871896185578805,24.59177276276856,1.3281986045343298e-08,-2.0470425270691104,-1.083320685724718
18,68.53777584733075,2.2301263179343973,168.738299375221,3.750640506010724,1.370755516946615,-0.6125874126004944,1.0834490643302217,-0.8397075754341801,1.3281986045343298e-08,5.128348990391702,1.4159840774801085
19,2986.5684007366963,1.0399367383737603,0.1363539201716647,0.0033133932933155,59.73136801473392,0.5062748133136782,51.5106713156111,30.240487190630027,1.3281986045343298e-08,-1.992501321895048,-1.0643231030073497
20,1133.9729121185928,1.9653268770208097,0.7263747717313402,0.0179285967598516,22.679458242371854,-0.3843748458929291,20.93715673396204,-8.717413266846805,1.3281986045343298e-08,-0.319689164558928,-0.4816556091704964
22,288.2890346635413,0.8282109061382611,15.431612545862752,0.361190281987068,5.765780693270826,0.6761949077633339,4.247781950475311,3.8987915440698777,1.3281986045343298e-08,2.7364181689601574,0.582835937659048
23,6056.367896240168,2.9763703077555923,0.0191303843303398,0.0008268371831038,121.12735792480336,-0.9863818101419828,19.92201677422472,-119.47782256758336,1.3281986045343298e-08,-3.9564767109929253,-1.7484074533657528
24,4127.834552749112,1.2980450525404854,0.0657074859478951,0.0020528133751419,82.55669105498224,0.2693820218854334,79.50485074095455,22.23928835656219,1.3281986045343298e-08,-2.722542216476056,-1.3186081382866932
25,2341.4271500513723,0.769651226469918,0.2451639346021682,0.007868586744343,46.82854300102745,0.718153419486217,32.58727165771514,33.63007828574521,1.3281986045343298e-08,-1.4058281171978269,-0.8599753498044299
26,130.82465317985458,1.5302956897723792,63.57230874435976,2.264213001582948,2.616493063597092,0.0404895657206238,2.614347438032272,0.1059406678560709,1.3281986045343298e-08,4.1521779786409025,1.075967946871167
27,501.895191975397,1.2158462447625802,4.665778458516978,0.1440716373853005,10.03790383950794,0.3475435593956127,9.412179446210263,3.488608829253477,1.3281986045343298e-08,1.5402546953609266,0.16619287924707668
28,62.08382901614505,2.291883064316384,209.98272110892657,10.497995202059014,1.241676580322901,-0.6602012979392878,0.932609257571056,-0.8197564899499956,1.3281986045343298e-08,5.347025246961818,1.4921525497252155
29,107.17537428875718,3.022576892052167,57.44685621491104,2.1203846884002084,2.143507485775144,-0.992925980314264,0.2545093377821864,-2.128344271624248,1.3281986045343298e-08,4.050860280920932,1.0406773562612655
30,1461.7749412259102,1.85899794553043,0.4212184539365656,0.0160382580196962,29.235498824518203,-0.284228475791557,28.029726773912827,-8.309561269898666,1.3281986045343298e-08,-0.864603655384894,-0.6714581278409498
31,1983.010195216938,1.8571436596712845,0.2444693321525609,0.010499847416407,39.66020390433876,-0.282450179405586,38.04531849447098,-11.202031708042604,1.3281986045343298e-08,-1.4086653544733267,-0.8609636053748394
32,5961.695166407211,1.146159370346511,0.0338975899308144,0.0010750074654096,119.23390332814422,0.4119900078413532,108.64454522511376,49.12317676711729,1.3281986045343298e-08,-3.3844109687825172,-1.5491477152882498
34,311.90616976230416,1.00320122072099,11.81550566030258,0.5052449241290831,6.238123395246083,0.5376058076598421,5.259962548195114,3.353651366183027,1.3281986045343298e-08,2.469412709010741,0.4898336232585896
35,508.9755205700557,0.0034308526368275,5.009712148437286,0.2163736502831087,10.179510411401116,0.9999941146308652,0.034924331622213,10.17945050122473,1.3281986045343298e-08,1.6113784606956567,0.19096643551164938
36,127.52631192522328,2.720921374017284,43.95271165502973,0.9115082887245044,2.5505262385044656,-0.9128150133438936,1.04156681444722,-2.328158642434404,1.3281986045343298e-08,3.78311432116558,0.9474171138177695
37,95.0163163402632,1.349138384202576,112.94591810968328,0.8259460305115683,1.900326326805264,0.2198473043547584,1.85383350548348,0.417781620342517,1.3281986045343298e-08,4.726909103464755,1.2761560807644707
40,1369.2306021709362,2.62986023915716,0.345465951710464,0.0079780213238074,27.384612043418723,-0.8718974730944472,13.409928738429455,-23.876574042328556,1.3281986045343298e-08,-1.062861150055294,-0.7405144155104112
41,433.6646210694328,0.5351296889322456,7.42479016691717,0.2376112727304092,8.673292421388656,0.8602025013003993,4.422968042190626,7.460787835388319,1.3281986045343298e-08,2.0048244257304466,0.3280100201135875
42,3061.991815994444,1.290004415845335,0.1168338919781788,0.0037213164569415,61.23983631988888,0.2771166321548198,58.84145700240765,16.97057719468002,1.3281986045343298e-08,-2.147001965950795,-1.118138172842506
44,234.07164691478008,1.4381675219135284,18.36266666246454,0.3496746430392537,4.681432938295601,0.1322403144382702,4.640319120006376,0.6190741637818858,1.3281986045343298e-08,2.910319618422532,0.6434086213811679
46,2667.456550679692,0.6575802779177036,0.1833195295265643,0.001767128887733,53.34913101359383,0.7914734897125442,32.607175452136815,42.22442289646083,1.3281986045343298e-08,-1.6965245132972457,-0.9612295999244092
48,207.85430872147117,3.072472976843187,14.624707518455873,0.1485673814745492,4.157086174429423,-0.9976121860247058,0.2871077141580812,-4.147159825965618,1.3281986045343298e-08,2.6827123950880707,0.5641293491581312
49,1457.7825242358078,1.7266621650040943,0.4734988221683527,0.0136431829151169,29.15565048471616,-0.1552354994512206,28.80221088599472,-4.525991964820137,1.3281986045343298e-08,-0.7476058258092106,-0.6307058940385762
50,99.74628451406215,2.17455985091311,83.21296983793759,1.980634590699504,1.9949256902812436,-0.5677446377292802,1.6422322628267585,-1.1326083633255586,1.3281986045343298e-08,4.421403223312799,1.1697434481446596
51,134.27606394764456,1.2353579849981824,63.658513117151806,1.5578874840276111,2.685521278952891,0.3291831127871717,2.5358467196833967,0.8840282540618993,1.3281986045343298e-08,4.153533065163239,1.0764399453943956
53,2442.364466409714,2.855312059013302,0.11992501655747,0.0047222131896499,48.847289328194286,-0.9593008171632948,13.793798358629203,-46.85924456874867,1.3281986045343298e-08,-2.1208884827763956,-1.109042424865155
54,1336.0572474569224,2.208714204511349,0.4583214756866793,0.0063996767620519,26.72114494913845,-0.5955240866277605,21.46609650561928,-15.913085439483668,1.3281986045343298e-08,-0.7801844001336764,-0.6420535376883229
56,2368.7240312002627,1.849306847015189,0.1729428747362311,0.0040122605123759,47.37448062400526,-0.2749238698965133,45.5489523040017,-13.024375547488914,1.3281986045343298e-08,-1.7547938660506213,-0.9815257566610815
57,482.905349283662,1.8131307430323615,4.174963270415804,0.0435909089978811,9.65810698567324,-0.2399694838283946,9.375901270247487,-2.31765094811142,1.3281986045343298e-08,1.429105563940266,0.1274778414808809
58,830.9242428279742,0.9570151645659692,1.806890269755561,0.0123113321686035,16.618484856559483,0.5759625796496003,13.585213505111447,9.57162540785182,1.3281986045343298e-08,0.5916072920232232,-0.16423633398738585
59,99.76822859975432,2.2293605130255054,81.49989811801824,3.2389939826236365,1.995364571995086,-0.6119819386506277,1.5780774480044062,-1.2211270790843327,1.3281986045343298e-08,4.400601770323339,1.1624979660811896
